,song_id,title,artists_id,artists_name,album_id,album_name,release_date,duration_min,popularity,song_url
0,06XQvnJb53SUYmlWIhUXUi,怪物,64tJ2EAv1R6UaZqc4iOCyj,YOASOBI,41HUxKwnbrg8IdelmMibj9,怪物,2021-01-06,3.43,82,https://open.spotify.com/track/06XQvnJb53SUYmlWIhUXUi
1,6vc3GcAg27Z9iknbjBVZtH,世界とかくれんぼ,"6Na6YdJLEeBDbP1bZv6q7a', '2EZcXq4boUMbuGRsSWbjeC","国江田計 (CV: 阿部敦)', '都築潮 (CV: 川原慶久)",7gU3VRaRiSBPaynGeLjhTJ,世界とかくれんぼ,2020-12-04,3.91,22,https://open.spotify.com/track/6vc3GcAg27Z9iknbjBVZtH
2,4kFY1RxOo6Wd8hgVL3t6Rb,Phantom Joke,449AEgfeOxqAuRn0uX6l3u,UNISON SQUARE GARDEN,6Rm9rTuxsvukGVowLHP93c,UNISON SQUARE GARDEN The 1st Collection for streaming,2019-10-11,4.07,52,https://open.spotify.com/track/4kFY1RxOo6Wd8hgVL3t6Rb
3,4EPXOp2cwHlYiOpz2YQWYS,スターダスト,1xwuTSJVlnBEOecAEHGRfY,ITOWOKASHI,178MyVBgrjKDFvwYclbee6,中央突破,2017-06-21,4.52,27,https://open.spotify.com/track/4EPXOp2cwHlYiOpz2YQWYS
4,3REf7M4gfHUaS8SAJrrLG7,ARK OF MEMORIES,3i7tuzRfutJGAUowspOM1f,Kashitaro Ito,3ewKbf1sUhzYyGSn8LkpHe,ENDING THEME FROM TV SERIES ”DECADENCE”,2020-07-29,4.2,34,https://open.spotify.com/track/3REf7M4gfHUaS8SAJrrLG7
5,6IP3GvRj6Rc65rly1rIHq5,レディメイド,6mEQK9m2krja6X1cfsAjfl,Ado,7hy4zddDO6zOMQxRipqQry,レディメイド,2020-12-24,4.07,65,https://open.spotify.com/track/6IP3GvRj6Rc65rly1rIHq5
6,62GRSSM4SdDSp5MXgWdnah,Calc.,3i7tuzRfutJGAUowspOM1f,Kashitaro Ito,5VfxZpps2s3yibA445smqp,一意専心,2014-01-22,3.77,37,https://open.spotify.com/track/62GRSSM4SdDSp5MXgWdnah
7,6EzZn96uOc9JsVGNRpx06n,うっせぇわ,6mEQK9m2krja6X1cfsAjfl,Ado,5msh7Lspyh1jGbDM2BxwAy,うっせぇわ,2020-10-23,3.42,79,https://open.spotify.com/track/6EzZn96uOc9JsVGNRpx06n
8,3bnSwZS7PJOCjqZF38iBdZ,rebirthday,3i7tuzRfutJGAUowspOM1f,Kashitaro Ito,5VfxZpps2s3yibA445smqp,一意専心,2014-01-22,5.22,18,https://open.spotify.com/track/3bnSwZS7PJOCjqZF38iBdZ
9,5meZvaHT6pQx4AZP1f8lN3,カナデアイ,1xwuTSJVlnBEOecAEHGRfY,ITOWOKASHI,178MyVBgrjKDFvwYclbee6,中央突破,2017-06-21,3.89,48,https://open.spotify.com/track/5meZvaHT6pQx4AZP1f8lN3
10,7dJBToDnojp5zctv7Y6Udh,Touch off,6m14xgA0m3w92UM7ujJgky,UVERworld,3gwSXVXDe4ZWk6pMZFWuIw,UNSER,2019-12-04,4.31,65,https://open.spotify.com/track/7dJBToDnojp5zctv7Y6Udh
11,6VQGwkK0U0YcLJcr348Wqz,CORE PRIDE,6m14xgA0m3w92UM7ujJgky,UVERworld,2bTDR1r8sPPcqBe30vXFZq,All Time Best,2018,4.29,61,https://open.spotify.com/track/6VQGwkK0U0YcLJcr348Wqz
12,0XTGeSFcD73mgRgl8VSL6S,蒼い炎,1xwuTSJVlnBEOecAEHGRfY,ITOWOKASHI,45IYPFvMoKBAxbWvbCNVbX,アイオライト/蒼い炎,2017-11-03,4.03,54,https://open.spotify.com/track/0XTGeSFcD73mgRgl8VSL6S
13,4BE1OloRc9xwjyqA4wFFuN,あの夢をなぞって,64tJ2EAv1R6UaZqc4iOCyj,YOASOBI,6VtHuuDn351LBXwpxmvZqt,あの夢をなぞって,2020-01-18,4.04,69,https://open.spotify.com/track/4BE1OloRc9xwjyqA4wFFuN
14,2JrFLSgCKWRuLfRTwemuKU,一滴の影響 (album ver.),6m14xgA0m3w92UM7ujJgky,UVERworld,7zA9YkR1jxwouE9Iri79hF,Tycoon,2017,4.8,45,https://open.spotify.com/track/2JrFLSgCKWRuLfRTwemuKU
15,6baeV3RT4kpivo327DC3AM,あなたがいることで,6le80R1opKnTlP4o3KvA2k,Uru,18fDDV05JDXFmNSACmKj7r,Orion Blue (Special Edition),2018,5.27,46,https://open.spotify.com/track/6baeV3RT4kpivo327DC3AM
16,4wm8rxgIRR5iyCuNIVV7c8,Futurism,6i5Ibaw62PidoTtJ7NlkzZ,Ayahi Takagaki,76F7HN4C13yrvKIBymE3Mr,Futurism,2017-08-02,4.76,21,https://open.spotify.com/track/4wm8rxgIRR5iyCuNIVV7c8
17,3VrKkcEm7RYXBI9RLv7SL7,冬のはなし,6LQYtKNp3ZsJ9xOzVVUj5j,ギヴン,7wR9KWzI8aoR89ryUPDhmr,gift,2020-08-26,3.48,70,https://open.spotify.com/track/3VrKkcEm7RYXBI9RLv7SL7
18,0c4eAEJx11kM57xTY0LT2K,セルフロンティア,5pjjlQXYjoMFWdjdKOre9s,ASCA,7aXNqhCdbVjruq0eoawQ1z,Hyakka Ryoran,2019,4.39,48,https://open.spotify.com/track/0c4eAEJx11kM57xTY0LT2K
19,5CJy6pVmKBLXNTlzrmZCEV,YELL,5YneEA2nLtAhkD5t2769lZ,Ikimonogakari,6CM8A3Uhws8mAcNOxpBRNq,Chou Ikimonobakari Tennen Kinen Members Best Selection,2006,5.91,42,https://open.spotify.com/track/5CJy6pVmKBLXNTlzrmZCEV
20,52IsIvHidofM9JMjw78Jyz,再会 (produced by Ayase),"0blbVefuxOGltDBa00dspv', '6le80R1opKnTlP4o3KvA2k","LiSA', 'Uru",5E725MGo2fLSl5Q6CYKevf,再会 (produced by Ayase),2020-11-16,4.04,73,https://open.spotify.com/track/52IsIvHidofM9JMjw78Jyz
21,7xsTPnzpEcqCQguRxnBxOR,ADAMAS,0blbVefuxOGltDBa00dspv,LiSA,1uiFlT3cdQeNlhuOsjjh2d,Akai Wana (Who Loves It?) / ADAMAS,2018-12-12,3.75,67,https://open.spotify.com/track/7xsTPnzpEcqCQguRxnBxOR
22,2xuqllrSe7cnmXj7E5b4nq,彩 -color-,1nHABHMHJWvV3bgLLyIyJo,沼倉愛美,1eKOOaA7H2CHAXUzkf0HL4,彩 -color-,2018-06-06,4.52,24,https://open.spotify.com/track/2xuqllrSe7cnmXj7E5b4nq
23,0N1YfZd5xNtKBA1L8Qjsym,幻世的盡頭 (幻世の涯て) [SSR階式神千姬CG片尾曲],6i5Ibaw62PidoTtJ7NlkzZ,Ayahi Takagaki,1wkTawno6eSziR3Y5RA7kg,陰陽師《永生之海》ASMR音樂概念專輯,2020-11-06,3.82,24,https://open.spotify.com/track/0N1YfZd5xNtKBA1L8Qjsym
24,12XbQQm5TziyPaLCpVhlS5,凛,5pjjlQXYjoMFWdjdKOre9s,ASCA,7aXNqhCdbVjruq0eoawQ1z,Hyakka Ryoran,2019,4.08,35,https://open.spotify.com/track/12XbQQm5TziyPaLCpVhlS5
25,4LnRLsKhypMfOqExy6QanW,remember,6le80R1opKnTlP4o3KvA2k,Uru,18fDDV05JDXFmNSACmKj7r,Orion Blue (Special Edition),2018,5.84,48,https://open.spotify.com/track/4LnRLsKhypMfOqExy6QanW
26,1xfuDYhMxc7yaGy4vyzmdd,宝物,78umxbPFlNNgIpEztuClkP,Maiko Fujita,5ZVqYdNvMyR7sVUl4STUXk,10th Anniversary Best,2016-11-23,5.32,14,https://open.spotify.com/track/1xfuDYhMxc7yaGy4vyzmdd
27,2twCEq28Qw7FcsznfX4HNv,Howling,5pjjlQXYjoMFWdjdKOre9s,ASCA,2XJrLMBNy1Ln56nHrW1Uic,Howling,2020-10-04,4.16,55,https://open.spotify.com/track/2twCEq28Qw7FcsznfX4HNv
28,0PcdDCdpDQt6eikwfX7ToD,天秤-Libra-,"2ayMogRmamCnzMAk4YiFAz', '5pjjlQXYjoMFWdjdKOre9s","Takanori Nishikawa', 'ASCA",5FVdM0C8260D3HrsxQwI0L,Libra,2020-05-27,4.77,36,https://open.spotify.com/track/0PcdDCdpDQt6eikwfX7ToD
29,1qamKAsxYS4dE20xD1Keeq,世界とかくれんぼ - 国江田計ver.,6Na6YdJLEeBDbP1bZv6q7a,国江田計 (CV: 阿部敦),7gU3VRaRiSBPaynGeLjhTJ,世界とかくれんぼ,2020-12-04,3.91,16,https://open.spotify.com/track/1qamKAsxYS4dE20xD1Keeq
30,2j1r3ubqqxuoTFaPVnTV1j,ANIMA,2SIBY7Jwq1kYng12Zguo3C,ReoNa,0IDNAr9hNxxTC8dBwcsvhW,unknown,2020-10-07,4.49,61,https://open.spotify.com/track/2j1r3ubqqxuoTFaPVnTV1j
31,19aiC9azpnoWGcUBERXFQS,流星,18moNotPmBWa2YZtRnIoZ3,Eir Aoi,79kjqN83NOyuQkxVhIICNz,Fragment (Special Edition),2019-04-17,4.21,46,https://open.spotify.com/track/19aiC9azpnoWGcUBERXFQS
32,6dpsJTzj5rwbeZ300HoyaM,歌えばそこに君がいるから,3O0kLS5sLZ41XZRxjBKmLF,Konomi Suzuki,12VMVfkAVsxwtQQKCosuRn,歌えばそこに君がいるから(TVアニメ「LOST SONG」オープニング主題歌),2018-05-23,4.74,38,https://open.spotify.com/track/6dpsJTzj5rwbeZ300HoyaM
33,05rUxC667EipVkMHycny90,繭,4HbLnUx8vMn9Dw09sJDX2u,(mao),3HrWUjZce6dQamzQfLrBqS,花のあとさき,2012-08-08,4.32,11,https://open.spotify.com/track/05rUxC667EipVkMHycny90
34,256HA7VZeTUiV16XKgvOnd,Naru,35AeYLIKrorZDAxsb40vVZ,ラックライフ,6vfJKYfntN3uCqUg6hoe0k,Naru,2018-11-14,4.09,42,https://open.spotify.com/track/256HA7VZeTUiV16XKgvOnd
