artists_id,artists_name,album_id,album_name,release_date,song_id,title,popularity,duration_ms,song_url
[{'id': '2SIBY7Jwq1kYng12Zguo3C'}],[{'name': 'ReoNa'}],0QB93SqXnduBcUSRVHTVdM,forget-me-not,2019-02-06,64WsT14hhzXwbTEY1PntsU,虹の彼方に,57,293746,{'spotify': 'https://open.spotify.com/track/64WsT14hhzXwbTEY1PntsU'}
[{'id': '6mEQK9m2krja6X1cfsAjfl'}],[{'name': 'Ado'}],6PWrAq4x3xn2Y2HahVhiQF,ギラギラ,2021-02-14,7D7GCO3CtDT1WDcj2W5VDV,ギラギラ,72,276213,{'spotify': 'https://open.spotify.com/track/7D7GCO3CtDT1WDcj2W5VDV'}
[{'id': '7ucOhItVkxNqunNLo8AkzN'}],[{'name': 'fripSide'}],3vS64xtPJBh10Bdidar5qj,infinite synthesis,2010-12-01,0JioHDxeFunGhb5B8MS74x,late in autumn,32,368400,{'spotify': 'https://open.spotify.com/track/0JioHDxeFunGhb5B8MS74x'}
[{'id': '0W2x7650Lt2CEIIcLHXmsE'}],[{'name': 'Nana Mizuki'}],55LFu6vcCbZ8FXIgk1oI1V,Vitalization,2013-07-31,1BJHubwnUKElLe0B5tEWpq,Vitalization,31,223760,{'spotify': 'https://open.spotify.com/track/1BJHubwnUKElLe0B5tEWpq'}
[{'id': '6U2dgcU46Iy9pF3RQBj5hG'}],[{'name': 'Monkey Majik'}],0YiCDTDr522Wac8BbC8wNy,Eden,2020-07-07,7CZKnz9mEt8Z638tyY5cKL,Eden,59,271520,{'spotify': 'https://open.spotify.com/track/7CZKnz9mEt8Z638tyY5cKL'}
[{'id': '78umxbPFlNNgIpEztuClkP'}],[{'name': 'Maiko Fujita'}],5PF880EaWQw0V15Mg6ICPa,BEST ALBUM 〜緋色の欠片〜,2020-05-15,05xtU243O8SHWnMVQZFQYl,君が手を伸ばす先に,23,270400,{'spotify': 'https://open.spotify.com/track/05xtU243O8SHWnMVQZFQYl'}
[{'id': '2BVUhHYQGZDr1YOQuySRuZ'}],[{'name': '茅原実里'}],5zvtfrFkov9rB0rXJIG1ln,SANCTUARYⅡ 〜Minori Chihara Best Album〜 (Artist Edition),2020-02-05,526CByLPJ6dEJBVlSvySFW,エイミー,33,296946,{'spotify': 'https://open.spotify.com/track/526CByLPJ6dEJBVlSvySFW'}
[{'id': '6m14xgA0m3w92UM7ujJgky'}],[{'name': 'UVERworld'}],40N8QvIss8EhQU3xUQU2gS,Bokuno Kotobadehanai Koreha Bokutachino Kotoba,2015-06-03,2RH6mLzJJpSwS3FgbQo1w9,僕の言葉ではない これは僕達の言葉,36,257413,{'spotify': 'https://open.spotify.com/track/2RH6mLzJJpSwS3FgbQo1w9'}
[{'id': '3Oe9PeZLoQuF3ysW6UjJgn'}],[{'name': 'ELISA'}],3xsFyQszvT2xh27APmQ15p,white pulsation,2009-01-21,2zGrP49nh1UvXTxkEJqBxe,HIKARI,25,287266,{'spotify': 'https://open.spotify.com/track/2zGrP49nh1UvXTxkEJqBxe'}
[{'id': '2lXdBKdqczUqxZlQxqTaFF'}],[{'name': 'moumoon'}],4UmPtiiMSi7WPXxIyO3m5h,moumoon BEST -FULLMOON-,2017-03-22,3I2Hd6ocYAzxFS9VMEMEKJ,"Hello, shooting-star",48,277640,{'spotify': 'https://open.spotify.com/track/3I2Hd6ocYAzxFS9VMEMEKJ'}
[{'id': '1KXJUpTiNeMv93LrJbbm7G'}],[{'name': '美波'}],2oN5rPuojBnqH0uQMUMVAl,カワキヲアメク,2019-01-30,1gUAX2ImxDsB3YDcyxMXlB,カワキヲアメク,75,251933,{'spotify': 'https://open.spotify.com/track/1gUAX2ImxDsB3YDcyxMXlB'}
[{'id': '6i5Ibaw62PidoTtJ7NlkzZ'}],[{'name': 'Ayahi Takagaki'}],5YM6BovRbsFgpPhszIvc81,relation,2010,2niQtODa8i0yckO5HkuFid,Meteor Light,20,277093,{'spotify': 'https://open.spotify.com/track/2niQtODa8i0yckO5HkuFid'}
[{'id': '3i7tuzRfutJGAUowspOM1f'}],[{'name': 'Kashitaro Ito'}],3ewKbf1sUhzYyGSn8LkpHe,ENDING THEME FROM TV SERIES ”DECADENCE”,2020-07-29,7bEX93pbLaPkcgEtz6CR47,TOKYO-STATION,26,255900,{'spotify': 'https://open.spotify.com/track/7bEX93pbLaPkcgEtz6CR47'}
[{'id': '0RLTJBHe0jhxEVsYMVCMz0'}],[{'name': 'Amamiya Sora'}],3qNZaX9HoAzmG5U9cY4llR,Regeneration,2019-11-06,4dVNwXkltG3o4CJn2z8BU5,Regeneration,45,242560,{'spotify': 'https://open.spotify.com/track/4dVNwXkltG3o4CJn2z8BU5'}
[{'id': '1snhtMLeb2DYoMOcVbb8iB'}],[{'name': 'Kenshi Yonezu'}],052EiTRYh35MuDVJN9Emdh,STRAY SHEEP,2020-08-05,4QnBgXJAEoHjKj6LiKP9wS,カナリヤ,48,298373,{'spotify': 'https://open.spotify.com/track/4QnBgXJAEoHjKj6LiKP9wS'}
[{'id': '4tUQYq2ZrkiDLCyxb5osUb'}],[{'name': 'Aliceliese Lou Nebulis Ⅸ (CV:Sora Amamiya)'}],6FBAVXM1rZGgJhkE01K0px,Koori no Torikago,2020-12-04,78iHEbYiVPvlulxA0jsR1P,Koori no Torikago,34,267960,{'spotify': 'https://open.spotify.com/track/78iHEbYiVPvlulxA0jsR1P'}
[{'id': '5pjjlQXYjoMFWdjdKOre9s'}],[{'name': 'ASCA'}],7BSWQP5UyC3Jb79lHeagpQ,Howling,2020-11-04,5dAjlbXqviFUjsf4Y7MxN2,grilletto,32,248813,{'spotify': 'https://open.spotify.com/track/5dAjlbXqviFUjsf4Y7MxN2'}
[{'id': '3iNmysCq0FJrHxpqUUagn2'}],[{'name': 'Shion Miyawaki'}],6GXczVPRa42ch8vxOU8awB,SHARE THE HAPPY,2016-12-21,6RDiHPPTbQJamUI9gyb6iV,また君に会える日,47,276600,{'spotify': 'https://open.spotify.com/track/6RDiHPPTbQJamUI9gyb6iV'}
[{'id': '3iNmysCq0FJrHxpqUUagn2'}],[{'name': 'Shion Miyawaki'}],7M8mokoPuWZXU1jrXNoHJH,卒業証書,2016-09-28,2IbsFcA4QHMFoL3lJlPY9l,卒業証書,49,298666,{'spotify': 'https://open.spotify.com/track/2IbsFcA4QHMFoL3lJlPY9l'}
[{'id': '6LQYtKNp3ZsJ9xOzVVUj5j'}],[{'name': 'ギヴン'}],7wR9KWzI8aoR89ryUPDhmr,gift,2020-08-26,12GTBy9hDysvblcr2XC5wq,夜が明ける,66,281360,{'spotify': 'https://open.spotify.com/track/12GTBy9hDysvblcr2XC5wq'}
[{'id': '3iNmysCq0FJrHxpqUUagn2'}],[{'name': 'Shion Miyawaki'}],5nnuB9aYtocIU9aESp6di9,バイバイ YESTERDAY,2016-05-25,1ooeKZlmf9fSa1V9l92JYg,月光,45,293533,{'spotify': 'https://open.spotify.com/track/1ooeKZlmf9fSa1V9l92JYg'}
"[{'id': '3R3WEsfL1WC1zLiz3XG9K5'}, {'id': '087QaLOI8MKeT9yHgjPu7P'}]","[{'name': 'miwa'}, {'name': 'Hazzie'}]",5D1383tjQ1AX9SJgRYCkxX,miwa ballad collection 〜graduation〜,2016-02-03,25tazZGq5Z6wodjgr34i2X,夜空。,53,310493,{'spotify': 'https://open.spotify.com/track/25tazZGq5Z6wodjgr34i2X'}
[{'id': '0W6SGTcbAnVkWPtlvjRet3'}],[{'name': 'mao'}],3rOcHMcGQ7Oa1GifZMEGrw,君ノ記憶,2010-04-21,6vim2To4FQTB8g4EkcYi2P,君ノ記憶,20,262826,{'spotify': 'https://open.spotify.com/track/6vim2To4FQTB8g4EkcYi2P'}
[{'id': '3ZZhxEl0lkwP7QwB8Vi1rf'}],[{'name': '3年E組うた担(渚&茅野&業&磯貝&前原)'}],6ELyctfHTgAeKxsABX4yyr,QUESTION,2016-02-24,4MorYttxU39XKVoRlCopyz,QUESTION,59,266226,{'spotify': 'https://open.spotify.com/track/4MorYttxU39XKVoRlCopyz'}
[{'id': '3ZZhxEl0lkwP7QwB8Vi1rf'}],[{'name': '3年E組うた担(渚&茅野&業&磯貝&前原)'}],5nnuB9aYtocIU9aESp6di9,バイバイ YESTERDAY,2016-05-25,66lF1QWtLZXJofJ3x388RV,バイバイ YESTERDAY,63,248800,{'spotify': 'https://open.spotify.com/track/66lF1QWtLZXJofJ3x388RV'}
[{'id': '0llYwFIMgF9Jzmp4ZY7wbr'}],[{'name': 'KOBUKURO'}],5OgTOLwI141JOY2RtnlhIh,ALL TIME BEST 1998-2018,2018-12-05,1j6Zt3I6vwy9L7koZCPqUu,ここにしか咲かない花,29,372786,{'spotify': 'https://open.spotify.com/track/1j6Zt3I6vwy9L7koZCPqUu'}
"[{'id': '3Zl0EsuYV23OgNw6WqGelN'}, {'id': '6cZFcUDQN21cmtJnwoCgeR'}, {'id': '5AFo75PCBqapt7O0iBHCIt'}, {'id': '17TtKVh03O7rl0yJsNsYQh'}, {'id': '6ZMookEbzDFhKyxGhHr7Ur'}, {'id': '2K8GVkF2OiXzSFa0ALD4GX'}]","[{'name': 'Momoiro Clover Z'}, {'name': 'セーラームーン(CV:三石琴乃)'}, {'name': 'セーラーマーキュリー(CV:金元寿子)'}, {'name': 'セーラーマーズ(CV:佐藤利奈)'}, {'name': 'セーラージュピター(CV:小清水亜美)'}, {'name': 'セーラーヴィーナス(CV:伊藤静)'}]",3QXwfNBhlJWaNXPJqEUj5W,月色Chainon (Eternal盤),2021-01-13,4k6s07py0efMchbNA0FKIu,月色Chainon,43,260118,{'spotify': 'https://open.spotify.com/track/4k6s07py0efMchbNA0FKIu'}
[{'id': '0W2x7650Lt2CEIIcLHXmsE'}],[{'name': 'Nana Mizuki'}],0em2lAYqDwbG6EZ2tAokS8,Synchrogazer,2012-01-11,3Y0vHa9j7yyznCZoRwkSlM,Synchrogazer,33,264760,{'spotify': 'https://open.spotify.com/track/3Y0vHa9j7yyznCZoRwkSlM'}
[{'id': '0W2x7650Lt2CEIIcLHXmsE'}],[{'name': 'Nana Mizuki'}],1eHKjExL0WvsYvrO9yHa4K,TESTAMENT,2017-07-19,2QSZ2xvqALjTBqZfKxsMeI,TESTAMENT,39,238413,{'spotify': 'https://open.spotify.com/track/2QSZ2xvqALjTBqZfKxsMeI'}
[{'id': '0W6SGTcbAnVkWPtlvjRet3'}],[{'name': 'mao'}],1mDdo5H3GWkJb7qie8LRv7,茜空に願ふ,2010-10-06,5sRqnHkYeHaP21pmAD4mdX,茜空に願ふ,19,286426,{'spotify': 'https://open.spotify.com/track/5sRqnHkYeHaP21pmAD4mdX'}
[{'id': '6Aal2uLlwnLAQwSI7apV11'}],[{'name': 'Inori Minase'}],6y6wyI1gYad7wW1rwO8Ymj,Starry Wish,2016-11-09,7LPtEFbEVTKLXvSh2qUv3E,Starry Wish,27,244546,{'spotify': 'https://open.spotify.com/track/7LPtEFbEVTKLXvSh2qUv3E'}
[{'id': '0W6SGTcbAnVkWPtlvjRet3'}],[{'name': 'mao'}],1vLg88thgzfMI7epUy3mN8,桜花の如く,2012-03-21,7gTRnwWG8YJN1u5Bnm44YF,桜花の如く,7,228813,{'spotify': 'https://open.spotify.com/track/7gTRnwWG8YJN1u5Bnm44YF'}
[{'id': '4FrFdi2hHpulQOxDihRIQD'}],[{'name': 'Aoi Teshima'}],51M0Y7HBSSD6SggyRqGMFH,Ren'dez-vous,2014-07-23,2dUYxBbmtmNfanhSLbRcry,明日への手紙,59,291880,{'spotify': 'https://open.spotify.com/track/2dUYxBbmtmNfanhSLbRcry'}
[{'id': '0RLTJBHe0jhxEVsYMVCMz0'}],[{'name': 'Amamiya Sora'}],5rpTgoIEM03GbTQ6kyXxT0,Various BLUE,2016-09-07,427vfPt3SW5ZhtCqwajhaT,Skyreach,44,268880,{'spotify': 'https://open.spotify.com/track/427vfPt3SW5ZhtCqwajhaT'}
[{'id': '5XWv1p8oOhKmviB5vovWg1'}],"[{'name': 'Hitoshizuku,Yama'}]",1TBhw7d2nGRFWJfG0GuKZm,Shuffle!!2,2019-01-23,4u5QSx6y1VZ0LMp8mQyuIJ,箱庭の夢,9,215750,{'spotify': 'https://open.spotify.com/track/4u5QSx6y1VZ0LMp8mQyuIJ'}
[{'id': '5dBfpSDW7kqoj9w32Z9Nmt'}],[{'name': 'くぅが starring 野島健児(from U×ミシ)'}],6OSZt375CdIOCZBmPAZRyO,「会長はメイド様!」U×ミシ Virtual Live Album -ナツコイ☆物語-,2010-09-23,26hgIfuckNIHJ69f6pI51m,茜,38,276160,{'spotify': 'https://open.spotify.com/track/26hgIfuckNIHJ69f6pI51m'}
[{'id': '3i7tuzRfutJGAUowspOM1f'}],[{'name': 'Kashitaro Ito'}],5VfxZpps2s3yibA445smqp,一意専心,2014-01-22,1VuXY20h1h9ibg89P7Ezgz,しわ,30,247017,{'spotify': 'https://open.spotify.com/track/1VuXY20h1h9ibg89P7Ezgz'}
[{'id': '0W2x7650Lt2CEIIcLHXmsE'}],[{'name': 'Nana Mizuki'}],4h4j5FEupRxpbGss2AabF2,THE MUSEUM Ⅲ,2018-01-10,22b3p38QWCoHEZI3PQ5RnK,Exterminate,39,245093,{'spotify': 'https://open.spotify.com/track/22b3p38QWCoHEZI3PQ5RnK'}
[{'id': '4muJrGMndyYWqZtfk8OWy4'}],[{'name': 'BoA'}],0F9dZ8Cdm6Rr5tXkAZvW45,MADE IN TWENTY(20),2007-01-17,4M3wUm1wL2zAiz9ehLXiZ5,Winter Love,34,341766,{'spotify': 'https://open.spotify.com/track/4M3wUm1wL2zAiz9ehLXiZ5'}
